Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Innsbruck,"118,84","8,33"
Wien,"110,57","21,03"
Dornbirn,"106,81","23,36"
Kufstein,"82,06","8,21"
Bludenz,78,"12,48"
Imst,"74,93","39,96"
Lilienfeld,"69,74","3,87"
Innsbruck-Land,"68,04","30,11"
Schwaz,"64,38","7,15"
Wiener Neustadt,"61,84","13,25"
Zwettl,"61,58","16,58"
Krems an der Donau,"60,3","24,12"
Neunkirchen,"56,78",0
Eisenstadt,"54,66","6,83"
Mödling,"54,62","5,88"
Baden,"54,03","7,52"
Wels,"53,46","9,72"
Feldkirch,"52,72","12,02"
Linz-Land,"47,91","5,32"
Landeck,"47,34","11,27"
Wiener Neustadt (Land),"44,88","7,69"
Freistadt,"43,53",3
Linz,"43,26","6,32"
Bruck an der Leitha,"42,15","6,86"
Bregenz,"41,48","7,41"
Graz,"41,2","4,16"
Gänserndorf,"38,58","7,72"
Vöcklabruck,"37,43","0,73"
Krems (Land),"35,34","5,3"
Salzburg,"33,72","7,13"
Reutte,"33,67","6,12"
Sankt Pölten,"32,7","1,82"
Deutschlandsberg,"31,24","8,22"
Korneuburg,"30,81","6,6"
Steyr,"28,8",0
Eisenstadt-Umgebung,"27,95","2,33"
Tulln,"27,95","1,93"
Mistelbach,"27,82","2,65"
Hollabrunn,"27,53","5,9"
Wels-Land,"27,36","8,21"
Melk,"24,37","10,26"
Eferding,"24,13",0
Graz-Umgebung,"23,99","3,89"
Braunau am Inn,"22,03","4,79"
Murau,"21,69",0
Sankt Pölten (Land),"20,6","3,05"
Leoben,"19,98","1,67"
Urfahr-Umgebung,"19,88",0
Villach,"19,28","4,82"
Kitzbühel,"18,78","1,57"
Oberwart,"18,49",0
Ried im Innkreis,"16,34","3,27"
Horn,"16,08","3,22"
Zell am See,"16,01","-1,14"
Neusiedl am See,"15,11",0
Mattersburg,"15,03","-2,5"
Hallein,"14,91","6,63"
Steyr-Land,"14,89",0
Perg,"14,61",0
Völkermarkt,"14,33","4,78"
Kirchdorf an der Krems,"12,31",0
Leibnitz,"11,88",0
Südoststeiermark,"11,87","2,37"
Salzburg-Umgebung,"11,82","0,66"
Güssing,"11,63",0
Liezen (inkl. Gröbming),"11,26","3,75"
Hartberg-Fürstenfeld,"11,03","1,1"
Villach Land,"10,82",0
Grieskirchen,"10,82","1,55"
Oberpullendorf,"10,66","2,67"
Schärding,"10,47",0
Wolfsberg,"9,48",0
Spittal an der Drau,"9,2","1,31"
Waidhofen an der Ybbs,"8,88",0
Gmunden,"8,86","2,95"
Sankt Johann im Pongau,"8,69",0
Bruck-Mürzzuschlag,"8,08","1,01"
Voitsberg,"7,82","-1,95"
Amstetten,"6,89","0,86"
Klagenfurt,"5,95","0,99"
Jennersdorf,"5,86",0
Weiz,"5,53",0
Gmünd,"5,44","2,72"
Rohrbach,"5,31","1,77"
Tamsweg,"4,92",0
Scheibbs,"4,83",0
Klagenfurt Land,"3,34",0
Feldkirchen,"3,34","-3,34"
Murtal,"2,78","1,39"
Sankt Veit an der Glan,"1,83","1,83"
Hermagor,0,0
Lienz,0,"-2,05"
Rust,0,0
Waidhofen an der Thaya,0,0
